availability_id,day,time
1001,Monday,Morning
1002,Tuesday,Morning
1003,Wednesday,Morning
1004,Thursday,Morning
1005,Friday,Morning
1006,Saturday,Morning
1007,Sunday,Morning
1008,Monday,Afternoon
1009,Tuesday,Afternoon
1010,Wednesday,Afternoon
1011,Thursday,Afternoon
1012,Friday,Afternoon
1013,Saturday,Afternoon
1014,Sunday,Afternoon
1015,Monday,Evening
1016,Tuesday,Evening
1017,Wednesday,Evening
1018,Thursday,Evening
1019,Friday,Evening
1020,Saturday,Evening
1021,Sunday,Evening
